documents,chapter,content,requirements,需求声明,制定流程,形成指定内容,形成程序文件,形成其他文件,形成记录
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,组织应编制质量手册。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系的范围。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括任何删减或不适用的详细说明和理由。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系的形成文件的程序或对其引用。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系过程之间的相互作用的表述。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应概述质量管理体系文件的结构。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,5 管理职责,"5.5.3 内部沟通
最高管理者应确保在组织内建立适当的沟通过程，并确保对质量管理体系的有效性进行沟通。","管理职责:内部沟通,最高管理者应确保在组织内建立适当的沟通过程。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,5 管理职责,"5.5.3 内部沟通
最高管理者应确保在组织内建立适当的沟通过程，并确保对质量管理体系的有效性进行沟通。","管理职责:内部沟通,最高管理者应确保对质量管理体系的有效性进行沟通。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,组织应将所需的基础设施的要求形成文件。",1,1,0,0,1,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,基础设施包括建筑物、工作场所和相关设施。",1,1,0,0,0,0
